149,세계를 건너 너에게 갈게 ㅣ 문학동네 청소년 39 ,이꽃님 (지은이) , 문학동네 , 2018년 2월,"11,500원 → 10,350원 (10%할인)"
150,흔한남매 과학 탐험대 4 : 물질 ㅣ 흔한남매 과학 탐험대 4 ,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획) ", 주니어김영사 , 2022년 2월,"14,000원 → 12,600원 (10%할인)"
151,김학렬의 부동산 투자 절대 원칙 ,김학렬(빠숑) (지은이) , 에프엔미디어 , 2022년 4월,"25,000원 → 22,500원 (10%할인)"
152,고민의 답 ,글배우 (지은이) , 강한별 , 2022년 3월,"15,800원 → 14,220원 (10%할인)"
153,흔한남매 불꽃 튀는 우리말 5 ㅣ 흔한남매 불꽃 튀는 우리말 5 ,"한은호 (지은이), 흔한남매 (원작), 유희석 (그림), 흔한컴퍼니 (감수) ", 다산어린이 , 2022년 3월,"13,000원 → 11,700원 (10%할인)"
154,나의 첫 ETF 포트폴리오 ,송민섭(수페TV) (지은이) , 토네이도 , 2022년 5월,"17,000원 → 15,300원 (10%할인)"
155,타이탄의 도구들 (알라딘 단독 리커버) ,"팀 페리스 (지은이), 박선령, 정지현 (옮긴이) ", 토네이도 , 2021년 7월,"15,000원 → 13,500원 (10%할인)"
156,10대를 위한 정의란 무엇인가  ,"마이클 샌델 (원작), 신현주 (글), 조혜진 (그림), 김선욱 (감수) ", 미래엔아이세움 , 2014년 11월,"12,000원 → 10,800원 (10%할인)"
157,김경일의 지혜로운 인간생활 ,김경일 (지은이) , 저녁달 , 2022년 4월,"17,500원 → 15,750원 (10%할인)"
158,체리새우 : 비밀글입니다 ㅣ 문학동네 청소년 42 ,황영미 (지은이) , 문학동네 , 2019년 1월,"11,500원 → 10,350원 (10%할인)"
159,대박 쉽게 숙제하는 법 ㅣ 난 책읽기가 좋아  ,"천효정 (지은이), 김무연 (그림) ", 비룡소 , 2022년 3월,"10,000원 → 9,000원 (10%할인)"
